,accuracy,avg_precision,f1_score,false_negatives,false_positives,model,threshold,true_negatives,true_positives
0,0.9607680533313171,0.974168589850181,0.9591078066914497,37,51,models/10_10-18_00_normal/,0.1,1112,1032
1,0.9587081247732752,0.974168589850181,0.9569691300280636,46,46,models/10_10-18_00_normal/,0.2,1117,1023
2,0.9585569078389089,0.974168589850181,0.9568075117370892,50,42,models/10_10-18_00_normal/,0.3,1121,1019
3,0.9575080414430921,0.974168589850181,0.9557021677662582,55,39,models/10_10-18_00_normal/,0.4,1124,1014
4,0.9555993298194164,0.974168589850181,0.9536862003780718,60,38,models/10_10-18_00_normal/,0.5,1125,1009
5,0.9536906181957407,0.974168589850181,0.9516587677725119,65,37,models/10_10-18_00_normal/,0.6,1126,1004
6,0.9512385712573608,0.974168589850181,0.9490233444497379,73,34,models/10_10-18_00_normal/,0.7,1129,996
7,0.9437171374634324,0.974168589850181,0.940893801057184,90,33,models/10_10-18_00_normal/,0.8,1130,979
8,0.9381044152931799,0.974168589850181,0.9347510874818753,102,33,models/10_10-18_00_normal/,0.9,1130,967
