,accuracy,avg_precision,f1_score,false_negatives,false_positives,model,threshold,true_negatives,true_positives
0,0.9617035070263592,0.9725644608855275,0.9600742804085423,35,51,uk1_lastdense,0.1,1112,1034
1,0.9596435784683173,0.9725644608855275,0.9579439252336449,44,46,uk1_lastdense,0.2,1117,1025
2,0.959492361533951,0.9725644608855275,0.9577861163227016,48,42,uk1_lastdense,0.3,1121,1021
3,0.9580135725242047,0.9725644608855275,0.9562352941176471,53,40,uk1_lastdense,0.4,1123,1016
4,0.95657258774805,0.9725644608855275,0.9547169811320754,57,39,uk1_lastdense,0.5,1124,1012
5,0.9546638761243743,0.9725644608855275,0.9526963103122044,62,38,uk1_lastdense,0.6,1125,1007
6,0.9518197108056565,0.9725644608855275,0.949667616334283,69,37,uk1_lastdense,0.7,1126,1000
7,0.9455880448535166,0.9725644608855275,0.942925659472422,86,33,uk1_lastdense,0.8,1130,983
8,0.939039868988222,0.9725644608855275,0.9357798165137615,100,33,uk1_lastdense,0.9,1130,969
