,accuracy,avg_precision,f1_score,false_negatives,false_positives,model,threshold,true_negatives,true_positives
0,0.9632438284588662,0.9914434037812544,0.9616087751371116,17,67,uk1_deep_train,0.1,1096,1052
1,0.9700847860481465,0.9914434037812544,0.968663594470046,18,50,uk1_deep_train,0.2,1113,1051
2,0.9712989454227519,0.9914434037812544,0.9699491447064263,20,45,uk1_deep_train,0.3,1118,1049
3,0.9729808316448783,0.9914434037812544,0.9717199814557256,21,40,uk1_deep_train,0.4,1123,1048
4,0.9719319652490614,0.9914434037812544,0.970684039087948,26,37,uk1_deep_train,0.5,1126,1043
5,0.9718563567818784,0.9914434037812544,0.9706293706293706,28,35,uk1_deep_train,0.6,1128,1041
6,0.9726783977761458,0.9914434037812544,0.9715086408220458,29,32,uk1_deep_train,0.7,1131,1040
7,0.9729949076893007,0.9914434037812544,0.9718837863167761,32,28,uk1_deep_train,0.8,1135,1037
8,0.9727302780541598,0.9914434037812544,0.9716981132075472,39,21,uk1_deep_train,0.9,1142,1030
